year,agentID,loc,isAg,agYF,buf_start,after_mortality,after_growth,gap,drawdown,accrual,buf_end,wealth_start,wealth_end,ag_income,farmGranted
1986,13,20,1,0.6797848,1.2,1.084722528,1.2,0,0,0,1.2,11.8789336104407,12.7855278326919,4.09827082041865,1
1986,65,19,1,0.5823748,1.2,1.049654928,1.17561351936,0,0,0.0243864806399998,1.2,4.66315243780299,7.96065170348057,8.23197839386263,1
1986,100,21,0,1,1.2,1.2,1.2,0,0,0,1.2,4.85123127922129,8.17530679058166,7.54012585226728,1
1986,104,19,0,0.5823748,1.2,1.049654928,1.17561351936,0,0,0,1.17561351936,7.16242391488657,12.1420225514246,10.5367505108967,1
1986,155,19,0,0.5823748,0.824460306405836,0.721165686299397,0.807705568655325,0,0,0,0.807705568655325,3.68508227288566,7.71801983290438,9.4170647500312,1
1987,13,20,1,0.89394985,1.2,1.161821946,1.2,0,0,0,1.2,12.7855278326919,14.419375071388,5.14934408116022,1
1987,65,19,1,0.8917318,1.2,1.161023448,1.2,0,0,0,1.2,7.96065170348057,11.1885940484228,7.90579730823708,1
1987,104,19,0,0.8917318,1.17561351936,1.13742905146897,1.2,0,0,0,1.2,12.1420225514246,16.6462768423069,10.0675314681372,1
1988,13,20,1,0.5400327,1.2,1.034411772,1.15854118464,0,0,0.04145881536,1.2,14.419375071388,17.8330308445758,8.32454176424639,1
1988,65,19,1,0.5363004,1.2,1.033068144,1.15703632128,0,0,0.0429636787199998,1.2,11.1885940484228,12.6836207525639,5.1352851047685,1
1989,13,20,1,1,1.2,1.2,1.2,0,0,0,1.2,17.8330308445758,20.7291185036296,7.28678006508955,1
1989,65,19,1,1,1.2,1.2,1.2,0,0,0,1.2,12.6836207525639,14.1782266996233,4.95470951176568,1
1989,77,19,0,1,1.16243261568,1.16243261568,1.2,0,0,0,1.2,33.9080272272286,36.7424946841576,7.17442836154827,1
1990,13,20,1,0.8744443,1.2,1.154799948,1.2,0,0,0,1.2,20.7291185036296,24.0463970065675,7.65435320489658,1
1990,65,19,1,0.96516385,1.2,1.187458986,1.2,0,0,0,1.2,14.1782266996233,16.24238973418,5.47510787426108,1
1991,13,20,1,0.45524085,1.2,1.003886706,1.12435311072,0,0,0.07564688928,1.2,24.0463970065675,26.7129482180563,7.24064501794796,1
1991,65,19,1,0.4872852,1.2,1.015422672,1.13727339264,0,0,0.0627266073599999,1.2,16.24238973418,18.0012082003017,5.58345940580291,1
1992,13,20,1,0.4645773,1.2,1.007247828,1.12811756736,0,0,0.07188243264,1.2,26.7129482180563,30.3423586893529,9.24900335656097,1
1993,13,20,1,0.90953125,1.2,1.16743125,1.2,0,0,0,1.2,30.3423586893529,34.0850074075214,8.86363931361431,1
1993,17,20,1,0.90953125,1.2,1.16743125,1.2,0,0,0,1.2,29.3034252877291,33.2263655328501,8.96025852520174,1
1993,65,21,0,1,1.10107503744,1.10107503744,1.2,0,0,0,1.2,22.9849740366486,28.8202766776395,12.0267506349849,1
1994,13,20,1,1,1.2,1.2,1.2,0,0,0,1.2,34.0850074075214,39.3058317604116,10.7918426714836,1
1994,65,21,0,1,1.2,1.2,1.2,0,0,0,1.2,28.8202766776395,34.6100842996973,11.6496793700962,1
1995,13,20,1,0.65782435,1.2,1.076816766,1.2,0,0,0,1.2,39.3058317604116,43.5818105902877,9.46880703312685,1
1995,17,21,1,1,1.2,1.2,1.2,0,0,0,1.2,39.039843641826,45.7139485631674,13.2738281189023,1
1995,65,21,0,1,1.2,1.2,1.2,0,0,0,1.2,34.6100842996973,42.5132514124207,15.1719451878724,1
1999,65,20,1,0.97869145,1.2,1.192328922,1.2,0,0,0,1.2,60.8219877460233,65.2248747374993,9.62827174412668,1
1999,155,21,1,1,1.2,1.2,1.2,0,0,0,1.2,82.669157809938,89.7780668660377,13.9629099601661,1
1999,184,19,1,1,1.2,1.2,1.2,0,0,0,1.2,120.56920231577,127.623201499009,13.7705672553976,1
2001,65,21,1,1,1.16797191168,1.16797191168,1.2,0,0,0,1.2,68.2173637412908,75.5859489549675,14.2809753561279,1
2005,155,21,1,1,1.2,1.2,1.2,0,0,0,1.2,122.146005354984,128.622968182621,13.0169603793945,1
2005,184,20,1,0.8415304,1.2,1.142950944,1.2,0,0,0,1.2,160.492777725608,167.087565598827,13.3718939136994,1
2006,65,19,1,0.57129525,1.2,1.04566629,1.1711462448,0,0,0.0288537551999999,1.2,96.0144174242008,97.6110703046115,4.96449965101782,1
2007,13,20,1,1,1.2,1.2,1.2,0,0,0,1.2,103.777368417868,108.388650556567,10.2092208894998,1
2021,155,21,0,1,1.2,1.2,1.2,0,0,0,1.2,228.264661401714,236.617411838486,15.9797156779539,1
2022,155,21,0,1,1.2,1.2,1.2,0,0,0,1.2,236.617411838486,246.064627774618,17.7453598935534,1
