t,agentID,homeLoc,candLoc,candIdx,isHome,layers,nLayers,value,familiarity,attachPenFrac,movingCost,creditBlocked,distressMode
62,28,6,11,3,0,unskilled2|maize|industrial_crop,3,64.3736869214961,0.0576250897638384,0.435461006160068,4.52206321642375,1,0
62,9,13,3,1,0,unskilled1|school,2,87.584227995621,0.363359337709263,0.0336829213795563,1.53613415840857,0,0
62,9,13,3,2,0,unskilled1|rice_south,2,40.7842292768966,0.17848848545094,0.0434639340462354,1.53613415840857,0,0
62,9,13,3,3,0,unskilled2|rice_south,2,44.9439005978893,0.0276985623221896,0.0514418176883198,1.53613415840857,0,0
62,9,13,3,4,0,unskilled1|maize|industrial_crop,3,57.9815196927039,0.359588947340346,0.0338824024524578,1.53613415840857,0,0
62,9,13,3,5,0,unskilled2|maize|industrial_crop,3,62.9050181510038,0.259062331921179,0.0392009915471807,1.53613415840857,0,0
62,9,13,3,6,0,maize|cassava|industrial_crop,3,39.9740427237539,0.348350052945818,0.0344770217074107,1.53613415840857,0,0
62,9,13,13,1,1,unskilled1|unskilled2,2,70.4011901736357,0.20618704777313,0.0419984786452749,0,0,0
62,9,13,13,2,1,school,1,64.0781793708921,0.369741704516645,0.0333452477559222,0,0,0
62,9,13,13,3,1,unskilled1|school,2,75.3514585447329,0.363359337709263,0.0336829213795563,0,0,0
62,9,13,13,4,1,unskilled1|maize|industrial_crop,3,66.5819399785448,0.359588947340346,0.0338824024524578,0,0,0
62,9,13,13,5,1,unskilled2|maize|industrial_crop,3,72.6123890510974,0.259062331921179,0.0392009915471807,0,0,0
62,9,13,14,1,0,unskilled1|school,2,73.7558335067988,0.363359337709263,0.0336829213795563,0.972624120380192,0,0
62,9,13,14,2,0,unskilled1|cassava,2,26.8664039518299,0.340118629310088,0.0349125238856198,0.972624120380192,0,0
62,9,13,14,3,0,unskilled1|maize|industrial_crop,3,40.7807734795939,0.359588947340346,0.0338824024524578,0.972624120380192,0,0
62,9,13,14,4,0,unskilled2|maize|industrial_crop,3,39.8354323193952,0.259062331921179,0.0392009915471807,0.972624120380192,0,0
62,9,13,14,5,0,maize|cassava|industrial_crop,3,35.858143311341,0.348350052945818,0.0344770217074107,0.972624120380192,0,0
62,46,1,1,1,1,unskilled1|unskilled2,2,62.2380747111543,0.200030312758257,0.231548977633767,0,0,0
62,46,1,1,2,1,unskilled1|school,2,54.7744252090095,0.158321363588845,0.243621515746624,0,0,0
62,46,1,1,3,1,unskilled1|maize,2,81.3606575693701,0.608562128858308,0.113300591654303,0,0,0
62,46,1,1,4,1,unskilled1|maize|industrial_crop,3,79.2998827238565,0.453847635882196,0.158082266816601,0,0,0
62,46,1,1,5,1,unskilled2|maize|industrial_crop,3,81.8509597689072,0.378576688654357,0.179869230940486,0,0,0
