t,year,quarter,agentID,age,tenure_q,loc,isAg,attachment,layers,nLayers,agYF,subsistBase,subsistNow,inflator,grossIncome,sharedOut,netIncome,agIncomeYTD,wealth_start,wealth_end,wealth_expect,wealth_resid,layerIncome,prodBonus,sharedIn,income_expect,income_resid,TOD,inSouth,buffer,lastShortfall,trapped,exitReason
94,2008,2,28,37.3198879284411,94,11,1,0.924177843510159,maize|cassava,2,1,1.75,1.75,1,8.92235294117647,0,8.92235294117647,8.92235294117647,-120.285608705638,-113.113255764462,-113.113255764462,0,7.43529411764706,1.48705882352941,0,8.92235294117647,0,-9999,0,7,0,1,
94,2008,2,56,60.7060544864367,94,1,1,0.729756550973948,maize|industrial_crop,2,0.95745625,1.75,1.8244515625,1.04254375,0,0,0,0,36.2874590778072,34.4630075153072,34.4630075153072,0,0,0,0,0,0,-9999,0,7,0,0,
94,2008,2,170,69.472649384944,94,6,1,0.685331488336193,maize,1,0.9051113,1.75,1.916055225,1.0948887,0,0,0,0,9.81776459309558,7.90170936809558,7.90170936809558,0,0,0,0,0,0,-9999,0,7,0,0,
95,2008,3,28,37.5698879284411,95,9,1,0.924177843510159,maize|cassava,2,0.44772355,1.75,2.7164837875,1.55227645,4.67780532324324,0,4.67780532324324,13.6001582644197,-113.576091569495,-111.614770033752,-111.614770033752,0,3.8981711027027,0.77963422054054,0,4.67780532324324,0,-9999,0,7,0,1,
95,2008,3,56,60.9560544864367,95,1,1,0.729756550973948,maize|industrial_crop,2,0.56644275,1.75,2.5087251875,1.43355725,9.408268656,0,9.408268656,9.408268656,34.4630075153072,41.3625509838072,41.3625509838072,0,7.84022388,1.568044776,0,9.408268656,0,-9999,0,7,0,0,
95,2008,3,170,69.722649384944,95,6,1,0.685331488336193,maize|industrial_crop,2,0.858452725,1.75,1.99770773125,1.141547275,10.7617560552,0,10.7617560552,10.7617560552,7.90170936809558,16.6657576920456,16.6657576920456,0,8.968130046,1.7936260092,0,10.7617560552,0,-9999,0,7,0,0,
96,2008,4,28,37.8198879284411,96,9,0,0.924177843510159,school,1,0.44772355,1.75,2.7164837875,1.55227645,0,0,0,13.6001582644197,-111.614770033752,-114.331253821252,-114.331253821252,0,0,0,0,0,0,-9999,0,7,0,1,
96,2008,4,56,61.2060544864367,96,14,1,0.729756550973948,maize,1,0.6698774,1.75,2.32771455,1.3301226,0,0,0,9.408268656,39.933907591241,37.606193041241,37.606193041241,0,0,0,0,0,0,-9999,0,7,0,0,
96,2008,4,170,69.972649384944,96,6,1,0.685331488336193,maize|industrial_crop,2,0.858452725,1.75,1.99770773125,1.141547275,0,0,0,10.7617560552,16.6657576920456,14.6680499607956,14.6680499607956,0,0,0,0,0,0,-9999,0,7,0,0,
97,2009,1,28,38.0698879284411,97,9,0,0.924177843510159,school,1,0.44772355,1.75,2.7164837875,1.55227645,0,0,0,0,-114.331253821252,-117.047737608752,-117.047737608752,0,0,0,0,0,0,-9999,0,2.1,0,1,
97,2009,1,56,61.4560544864367,97,1,1,0.729756550973948,maize,1,0.56644275,1.75,2.5087251875,1.43355725,0,0,0,0,36.1775496486748,33.6688244611748,33.6688244611748,0,0,0,0,0,0,-9999,0,7,0,0,
97,2009,1,170,70.222649384944,97,6,1,0.685331488336193,maize|industrial_crop,2,0.858452725,1.75,1.99770773125,1.141547275,2.58198333333333,0,2.58198333333333,0,14.6680499607956,15.2523255628789,15.2523255628789,0,2.58198333333333,0,0,2.58198333333333,0,-9999,0,7,0,0,
98,2009,2,28,38.3198879284411,98,9,1,0.924177843510159,rice_south|maize,2,0.44772355,1.75,2.7164837875,1.55227645,0,0,0,0,-117.047737608752,-119.764221396252,-119.764221396252,0,0,0,0,0,0,-9999,0,2.1,0,1,
98,2009,2,56,61.7060544864367,98,1,1,0.729756550973948,maize,1,0.56644275,1.75,2.5087251875,1.43355725,0,0,0,0,33.6688244611748,31.1600992736748,31.1600992736748,0,0,0,0,0,0,-9999,0,7,0,0,
98,2009,2,170,70.472649384944,98,6,1,0.685331488336193,unskilled2|maize|industrial_crop,3,0.858452725,1.75,1.99770773125,1.141547275,2.67948105902778,0,2.67948105902778,0,15.2523255628789,15.9340988906567,15.9340988906567,0,2.67948105902778,0,0,2.67948105902778,0,-9999,0,7,0,0,
99,2009,3,28,38.5698879284411,99,21,1,0.924177843510159,maize,1,1,1.75,1.75,1,11.2110891089109,0,11.2110891089109,11.2110891089109,-121.183987687006,-111.722898578095,-111.722898578095,0,10.009900990099,1.20118811881188,0,11.2110891089109,0,-9999,1,2.1,0,1,
99,2009,3,56,61.9560544864367,99,1,1,0.729756550973948,unskilled1|maize,2,1,1.75,1.75,1,14.6357196308306,0,14.6357196308306,12.2672985781991,31.1600992736748,44.0458189045055,44.0458189045055,0,12.5911698677975,2.04454976303317,0,14.6357196308306,0,-9999,0,7,0,0,
99,2009,3,170,70.722649384944,99,6,1,0.685331488336193,unskilled2|maize|industrial_crop,3,0.94223165,1.75,1.8510946125,1.05776835,14.815618919181,0,14.815618919181,12.351724137931,15.9340988906567,28.8986231973377,28.8986231973377,0,12.7569982295259,2.05862068965517,0,14.815618919181,0,-9999,0,7,0,0,
100,2009,4,28,38.8198879284411,100,21,1,0.924177843510159,maize,1,1,1.75,1.75,1,0,0,0,11.2110891089109,-111.722898578095,-113.472898578095,-113.472898578095,0,0,0,0,0,0,-9999,1,2.1,0,1,
100,2009,4,56,62.2060544864367,100,1,1,0.729756550973948,maize,1,1,1.75,1.75,1,0,0,0,12.2672985781991,44.0458189045055,42.2958189045055,42.2958189045055,0,0,0,0,0,0,-9999,0,7,0,0,
100,2009,4,170,70.972649384944,100,6,1,0.685331488336193,unskilled2|maize|industrial_crop,3,0.94223165,1.75,1.8510946125,1.05776835,1.64259652083333,0,1.64259652083333,12.351724137931,28.8986231973377,28.6901251056711,28.6901251056711,0,1.64259652083333,0,0,1.64259652083333,0,-9999,0,7,0,0,
101,2010,1,28,39.0698879284411,101,21,1,0.924177843510159,maize,1,1,1.75,1.75,1,0,0,0,0,-115.15733422166,-116.90733422166,-116.90733422166,0,0,0,0,0,0,-9999,1,4.03643564356436,0,1,
101,2010,1,56,62.4560544864367,101,1,1,0.729756550973948,maize,1,1,1.75,1.75,1,0,0,0,0,42.2958189045055,40.5458189045055,40.5458189045055,0,0,0,0,0,0,-9999,0,7,0,0,
101,2010,1,170,71.222649384944,101,6,1,0.685331488336193,maize|industrial_crop,2,0.94223165,1.75,1.8510946125,1.05776835,2.4568425,0,2.4568425,0,28.6901251056711,29.2958729931711,29.2958729931711,0,2.4568425,0,0,2.4568425,0,-9999,0,7,0,0,
102,2010,2,28,39.3198879284411,102,21,1,0.924177843510159,maize,1,1,1.75,1.75,1,0,0,0,0,-116.90733422166,-118.65733422166,-118.65733422166,0,0,0,0,0,0,-9999,1,4.03643564356436,0,1,
102,2010,2,56,62.7060544864367,102,1,1,0.729756550973948,maize,1,1,1.75,1.75,1,0,0,0,0,40.5458189045055,38.7958189045055,38.7958189045055,0,0,0,0,0,0,-9999,0,7,0,0,
102,2010,2,170,71.472649384944,102,12,1,0.685331488336193,maize,1,0.991028333333333,1.75,1.76570041666667,1.00897166666667,0,0,0,0,26.9601084572263,25.1944080405597,25.1944080405597,0,0,0,0,0,0,-9999,0,7,0,0,
103,2010,3,28,39.5698879284411,103,21,1,0.924177843510159,maize,1,1,1.75,1.75,1,11.9889908256881,0,11.9889908256881,11.9889908256881,-118.65733422166,-108.418343395971,-108.418343395971,0,9.99082568807339,1.99816513761468,0,11.9889908256881,0,-9999,1,4.03643564356436,0,1,
103,2010,3,56,62.9560544864367,103,1,1,0.729756550973948,maize,1,0.6727368,1.75,2.3227106,1.3272632,8.52925428,0,8.52925428,8.52925428,38.7958189045055,45.0023625845055,45.0023625845055,0,7.1077119,1.42154238,0,8.52925428,0,-9999,0,7,0,0,
103,2010,3,170,71.722649384944,103,12,0,0.685331488336193,school,1,0.819023166666667,1.75,2.06670945833333,1.18097683333333,0,0,0,0,25.1944080405597,23.1276985822263,23.1276985822263,0,0,0,0,0,0,-9999,0,7,0,0,
104,2010,4,28,39.8198879284411,104,21,1,0.924177843510159,unskilled1|cassava,2,1,1.75,1.75,1,1.66666666666667,0,1.66666666666667,11.9889908256881,-108.418343395971,-108.501676729305,-108.501676729305,0,1.66666666666667,0,0,1.66666666666667,0,-9999,1,4.03643564356436,0,0,
