quarter,year,agentID,loc,lastYearIncome,baselineIncome,dropThreshold,incomeShock,lastShortfall,historyOK,cooldownOK,fired,movedTo
142,2018,1144,11,NaN,NaN,NaN,0,0,1,0,0,15
142,2018,1124,6,NaN,NaN,NaN,0,0,1,1,0,10
142,2018,931,12,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,1034,7,NaN,NaN,NaN,0,0.159609015699699,1,1,0,13
142,2018,247,21,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,922,19,NaN,NaN,NaN,0,0,1,1,0,16
142,2018,255,22,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,534,12,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,800,3,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,1465,21,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,376,12,NaN,NaN,NaN,0,0,1,1,0,8
142,2018,541,18,NaN,NaN,NaN,0,0,1,1,0,6
142,2018,1043,13,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,1599,8,NaN,NaN,NaN,0,0,1,1,0,7
142,2018,183,6,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,347,18,NaN,NaN,NaN,0,0,1,0,0,13
142,2018,1391,4,NaN,NaN,NaN,0,0,1,1,0,0
142,2018,106,6,NaN,NaN,NaN,0,0,1,0,0,1
142,2018,47,4,NaN,NaN,NaN,0,0,1,1,0,11
142,2018,20,13,NaN,NaN,NaN,0,0,1,1,0,6
142,2018,243,6,NaN,NaN,NaN,0,0.304175362581109,1,1,0,3
142,2018,1584,11,NaN,NaN,NaN,0,0,1,0,0,6
142,2018,1215,19,NaN,NaN,NaN,0,0,1,0,0,0
142,2018,372,20,NaN,NaN,NaN,0,0,1,1,0,2
142,2018,174,14,NaN,NaN,NaN,0,0,1,0,0,11
142,2018,1199,11,NaN,NaN,NaN,0,0,1,1,0,6
142,2018,813,2,NaN,NaN,NaN,0,0,1,0,0,18
142,2018,87,3,NaN,NaN,NaN,0,0,1,0,0,10
142,2018,1021,17,NaN,NaN,NaN,0,0,1,0,0,12
142,2018,1394,6,NaN,NaN,NaN,0,0,1,1,0,15
142,2018,323,5,NaN,NaN,NaN,0,0,1,1,0,13
142,2018,1535,19,NaN,NaN,NaN,0,0,1,1,0,13
142,2018,276,19,NaN,NaN,NaN,0,0,1,1,0,4
